unique_id,metric_id,evidence_id,practice_table6,outcome,intervention,comparator,time_span,covariates,mean,statistic_name,statistic,lower,upper,units,domain,n_studies,n_observations,direction,citation,doi,zotero_collection,source_locator,extracted_verbatim,notes,target_type
48,FR-N2O-03,IPCC_2019_EF1FR_rice,Flooding / rice,N2O,flooded rice fields,no N addition,,continuous flooding vs single/multiple drainage,0.004,uncertainty range,0.000 to 0.029,0.000,0.029,kg N2O-N per kg N applied,flooded rice,,,"increase, low","IPCC (2019) Refinement to the 2006 IPCC Guidelines, Vol 4 Ch 11, Table 11.1 (Updated)",,(uncollected),"Table 11.1 (Updated), EF1FR, p 11.13",EF1FR for flooded rice fields: 0.004 (0.000-0.029); continuous flooding 0.003 (0.000-0.010); single and multiple drainage 0.005 (0.000-0.016),"Directly applicable to US-Twt. Continuous flooding 0.003 is LOWER than drained 0.005, consistent with Cayuela's flooded-rice EF of 0.19% and with complete denitrification under anaerobic conditions. Note the uncertainty range is wider than the mean.",absolute_reference
49,XCUT-SOC-01,CARB_2025_soilC_series,(cross-cutting),Soil C,California cropland as managed,"n/a, absolute inventory",2001-2022,,225.43,range across years,209.34 to 264.44,209.34,264.44,"MMT C (soil pool, cropland)",California cropland,,,n/a,"California Air Resources Board (2025). NWL Carbon Inventory, Appendix C Croplands, figure data",,(uncollected),"Appendix C figure data, sheet CL_Fig1","Annual cropland soil carbon 2001-2022, minimum 209.34 (2014), maximum 264.44 (2012), 2022 = 213.4955 MMT C","RESOLVES the unexplained 213.495506299556 in the draft table: it is the 2022 value, the final year of this series. Not an error, but an undocumented single-year pick. Per David, the comparison should be order-of-magnitude against the series rather than one year; interannual spread is 55 MMT, a quarter of the mean.",absolute_reference
50,XCUT-SOC-01,CARB_2025_biomassC_series,(cross-cutting),Soil C,California cropland biomass,"n/a, absolute inventory",2001-2022,,46.4,range across years,34.67 to 64.99,34.67,64.99,"MMT C (biomass pool, cropland)",California cropland,,,increase,"California Air Resources Board (2025). NWL Carbon Inventory, Appendix C Croplands, figure data",,(uncollected),"Appendix C figure data, sheet CL_Fig1",Cropland biomass carbon rises monotonically from 34.67 MMT C in 2001 to 64.99 in 2022,Biomass nearly doubles while soil carbon is flat to declining. Consistent with orchard expansion (CL_Fig5: almond 29.46 MMT C of the biomass pool). A model reproducing the total but not this split would be right for the wrong reason.,absolute_reference
51,AP-SOC-01,Siddique_2023_vs_monoculture,Annual -> Perennial,Soil C,perennial crops,annual monoculture,,,+16.6,percent change in SOC stock,,,,"percent, 0-30 cm","global, 77 sites",51 publications,351,increase,Siddique et al. (2023). Soil organic carbon stock change following perennialization: a meta-analysis,,management/meta-analyses,Abstract,"perennial crops significantly increased soil organic carbon stock by 16.6% and 23.1% at 0-30 cm depth compared with monoculture and crop rotation, respectively","FILLS the cell that was empty and that the draft marked 'verified' on an untraceable source. Table 6 predicts a strong increase and this supports it, at 0-30 cm, the depth the CARB inventory also uses.",contrast
52,AP-SOC-02,Siddique_2023_time_dependence,Annual -> Perennial,Soil C,perennial crops by stand age,annual systems,"<5 years vs >10 years, steady state near 20 years",,negative <5 yr; +36.4 vs rotation >10 yr,percent change by duration,,,,"percent, 0-30 cm",global,,,sign changes with duration,Siddique et al. (2023). Soil organic carbon stock change following perennialization: a meta-analysis,,management/meta-analyses,Abstract,"Shortly after establishment (< 5 years), perennial crops revealed a negative impact on soil organic carbon; however, long duration (> 10 years) of perennialization had a significant positive effect ... increase of soil organic carbon stock until about 20 years; thereafter ... a steady level","SAME time dependence as no-till: negative early, positive after about 10 years, plateau near 20. A statewide comparison must condition on stand age, exactly as for tillage. pH mattered; soil texture did not.",contrast
53,FR-CH4-02,Jiang_2019_CH4,Flooding / rice,CH4,"non-continuous flooding (AWD, intermittent)",continuous flooding,,"number of drying events, drying severity, unflooded days",-53,percent change,,,,percent,global rice,52 studies,201 paired,decrease,Jiang et al. (2019). Water management to mitigate the global warming potential of rice systems: a global meta-analysis. Field Crops Research 234:47-54,,management/meta-analyses,Abstract,"compared to continuous flooding, non-continuous flooding practices reduced CH4 emissions by 53%, increased N2O emissions by 105%, and decreased yield by 3.6%","Table 6 predicts a strong CH4 decrease for reduced flooding and this confirms it. Reduction grows with the number of drying events and unflooded days, so it is dose dependent, not binary.",contrast
54,FR-N2O-04,Jiang_2019_N2O_tradeoff,Flooding / rice,N2O,non-continuous flooding,continuous flooding,,"soil organic carbon, manure additions",+105,percent change,,,,percent,global rice,52 studies,201 paired,increase,Jiang et al. (2019). Water management to mitigate the global warming potential of rice systems: a global meta-analysis. Field Crops Research 234:47-54,,management/meta-analyses,Abstract,"increased N2O emissions by 105% ... N2O emissions were low, contributing, on average, 12% to the combined global warming potential","Table 6 marks flooding x N2O as uncertain and this explains why: N2O doubles, but from a low base, contributing only 12% of combined GWP. The tradeoff is real but CH4 dominates. Worse in high-SOC soils and with manure, which describes Delta peat.",contrast
55,FR-GWP-01,Jiang_2019_GWP,Flooding / rice,(net GWP),non-continuous flooding,continuous flooding,,,-44,percent change in GWP; yield-scaled -42,,,,percent,global rice,,,decrease,Jiang et al. (2019). Water management to mitigate the global warming potential of rice systems: a global meta-analysis. Field Crops Research 234:47-54,,management/meta-analyses,Abstract,non-continuous flooding reduced GWP (-44%) and yield-scaled GWP (-42%) ... decreased yield by 3.6%,"Net of the CH4 gain and N2O penalty, drainage is a clear mitigation at a 3.6% yield cost. Also proposes revising the IPCC scaling factors from 0.6 to 0.67 for a single drying event and 0.52 to 0.36 for multiple, which bears directly on the IPCC EF1FR rows here.",deferred_unchecked
56,NF-N2O-17,Leschinsky_2026_EF_benchmarks,+/- N Fertilization,N2O,organic fertilizer N,IPCC default benchmarks,,"68 covariates: crop, N management, hydrology, soil, topography, climate, remote sensing",see note,random forest R2,"0.54 area-scaled, 0.72 yield-scaled, 0.69 EF",,,percent of N applied,"North America, organic systems",43 field studies,315,benchmarks are biased,Leschinsky & Xia (2026). Identifying key management and environmental drivers of organic fertilizer-induced soil N2O emissions across North America: a meta-analysis. Environ Res Commun 8:061002,10.1088/2515-7620/ae7251,management/meta-analyses,Abstract,"the 2006 benchmark (1%) might overestimate EFs, while the 2019 dry region benchmark (0.5%) overestimates EFs and the 2019 wet region benchmark (0.6%) underestimates EFs","THIRD independent line on the EF question, and it goes further than Cayuela. Cayuela and IPCC 2019 both land on 0.5% for dry regions; this says even 0.5% is too high for organic fertilizer in North America. Swine manure had the highest EFs, corn the highest area-scaled emissions.",not_viable
57,XCUT-N2O-01,Jeong_2018_statewide_N2O,(cross-cutting),N2O,California statewide anthropogenic N2O,the state inventory,2013-2014,,1.5 to 2.5 times the inventory,95% confidence,1.5-2.5x,1.5,2.5,multiple of inventory; inventory 41 Gg N2O in 2014,"California, six-site Bayesian inversion",,,inventory underestimates,Jeong et al. (2018). Inverse estimation of an annual cycle of California's nitrous oxide emissions,,(uncollected),Abstract,annual anthropogenic emissions are 1.5-2.5 times (at 95% confidence) the state inventory (41 Gg N2O in 2014) ... 4-7% of total GHG emissions,"Top-down check on the bottom-up inventory used in organization#228, which gives cropland N2O as 6.8 MMT CO2e = 22.8 Gg N2O. If the statewide inventory is low by 1.5 to 2.5x, a MAGiC run matching the inventory may still be low against the atmosphere. Emissions were similar across seasons.",absolute_reference
58,RT-GWP-05,Huang_2018_dry_climate,Reduced tillage,(net GWP),no-tillage,conventional tillage,,"climate, tillage duration, soil texture, pH, crop species",reduction in dry climates only,qualitative by subgroup,,,,GHG emissions and GWP,global cereal systems,90 articles,740 paired,"decrease in dry, not humid",Huang et al. (2018). Greenhouse gas emissions and crop yield in no-tillage systems: a meta-analysis. Agric Ecosyst Environ,10.1016/j.agee.2018.09.002,management/meta-analyses,Abstract,"Compared to conventional tillage (CT), NT reduced in GHG emissions and increased crop yield in dry, but not humid, climates, and reduced in the GWP at sites with acidic soils","DIRECTLY CONTRADICTS Six et al. 2004 on the subset that matters here. Six found 20-year dry-climate GWP indistinguishable from zero (-2281 +/- 5815) and mitigation only in humid climates; Huang finds the reverse, reduction in dry but not humid. Both are meta-analyses. This is the arid subset David asked to focus on, and the two syntheses disagree on its sign.",deferred_unchecked
59,NF-SOC-01,Snyder_2009_Nfert_soilC,+/- N Fertilization,Soil C,N fertilizer at 168 and 83 kg N ha-1 yr-1,unfertilized control (0 N),"1965-1995, 30 years",,17.0 / 13.0 / 10.1,corn-derived SOC by N rate (168 / 83 / 0),,,,"t C ha-1, top 30 cm","Minnesota, continuous corn",,,fertilization slows SOC loss,Snyder et al. (2009). Review of greenhouse gas emissions from crop production systems and fertilizer management effects. Agric Ecosyst Environ 133(3-4):247-266,10.1016/j.agee.2009.04.021,"management, cited_references","Section 2.5.1, Table 2, from Wilts et al. (2004)","total soil organic C declined for all treatments, but at a slower rate in the fertilized treatments than in the unfertilized control. The difference resulted from increased accumulation of C in the soil with the isotopic signature of corn","FILLS a cell that was empty. Important nuance: SOC DECLINED under every N rate; fertilization only slowed the decline, it did not produce a gain. Table 6 marks this cell uncertain, and that is the right call. Corn-derived C rose from 10.1 to 17.0 t/ha (12% to 21% of SOC) across the N gradient, mostly from roots and exudates.",contrast
60,NF-CH4-01,Snyder_2009_Nfert_CH4,+/- N Fertilization,CH4,N fertilizer and nitrification inhibitors,unfertilized / native soils,,,qualitative,direction only,,,,n/a,non-rice agricultural soils,,,reduced CH4 uptake,Snyder et al. (2009). Review of greenhouse gas emissions from crop production systems and fertilizer management effects. Agric Ecosyst Environ 133(3-4):247-266,10.1016/j.agee.2009.04.021,"management, cited_references",Sections 2.3 and 3.6,"Nonrice agricultural soils are a sink for atmospheric CH4, [but to a] smaller extent than soils in their native condition ... Delgado and Mosier (1996) reported that nitrification inhibitors can also inhibit CH4 oxidation in soils","TIER 2 and qualitative: a review statement, not a pooled effect size, and the inhibitor result is second hand. Fills the cell only weakly. Direction is consistent with Table 6 treating this as uncertain: cropland is a weaker CH4 sink than native soil, and inhibitors weaken it further, so the sign of a fertilizer change depends on what is being compared.",not_viable
61,FR-SOC-01,Kirk_2015_flooded_rice_soilC,Flooding / rice,Soil C,flooded rice on peat,traditional aerobic (drained) cropping,,,2473 and 2241,range across sites and assumptions,1149 to 2473,1149,2473,kg C ha-1 yr-1 net loss,"Sacramento-San Joaquin Delta peatland, two sites",,,loss reduced but not stopped,Kirk et al. (2015). Estimating annual soil carbon loss in agricultural peatland soils using a nitrogen budget approach. PLoS ONE 10(3):e0121432,10.1371/journal.pone.0121432,management,"Abstract, Results and Conclusions",the net C loss was 2473 kg C ha-1 (Site 1) and 2241 kg C ha-1 (Site 2) ... ranged from 1149-2473 kg C ha-1 ... transitioning high organic matter soils to flooded rice cultivation [reduces] subsidence rates compared to traditional aerobic cropping,"FILLS a cell that was empty, and it is the Delta, the same peatland as US-Twt. Flooding reduces carbon loss relative to drained cropping, which reported 3700-8600 kg C ha-1 yr-1, but the soil is still a net source. That is why Table 6 marks flooding x Soil C as uncertain: the sign depends on whether the comparator is drained cropland or an undrained baseline.",needs_source_check
62,AP-N2O-01,Anthony_2023_alfalfa_N2O,Annual -> Perennial,N2O,"continuous alfalfa, a perennial N-fixing forage",its own ecosystem carbon sink,multi-year eddy covariance and automated chambers,,624,standard error,28,,,mg N2O m-2 yr-1,"Sacramento-San Joaquin Delta, US-Bi1",,,large N2O source,Anthony et al. (2023). Carbon-sink potential of continuous alfalfa agriculture lowered by short-term nitrous oxide emission events. Nature Communications,10.1038/s41467-023-37391-2,management,Abstract,"the alfalfa system was a large N2O source (624 +/- 28 mg N2O m-2 y-1), offsetting the ecosystem carbon (carbon dioxide (CO2) and methane (CH4)) sink by up to 14% annually. Short-term N2O emissions events (i.e. hot moments) accounted for <=1% of measurements but up to 57% of annual [N2O]","FILLS the last perennial cell and CONTRADICTS Table 6, which predicts a decrease in N2O on conversion to perennial. A perennial N-fixer is a large N2O source that cancels up to 14% of its own carbon sink. This is US-Bi1, one of our own cal/val sites, so it is directly checkable. The hot-moment structure, 1% of measurements giving 57% of the annual flux, also means an annual mean is a poor test of whether the model has the mechanism right.",absolute_reference
